cart_item_id,cart_id,item_id,quantity
391,121,340,1
392,121,458,1
393,121,169,1
394,121,445,1
395,122,45,1
396,122,355,1
397,122,168,1
398,122,321,1
399,122,382,1
400,123,418,5
401,124,249,1
402,125,375,2
403,126,334,3
404,127,251,6
405,128,427,2
406,129,374,1
407,129,312,1
408,129,379,1
409,129,421,1
410,129,196,1
411,129,341,1
412,130,459,1
413,130,311,1
414,130,389,1
415,130,196,1
416,131,352,1
417,132,49,1
418,133,483,1
419,134,422,2
420,135,409,1
421,136,152,1
422,136,427,1
423,136,325,1
424,136,222,1
425,136,249,1
426,137,29,1
427,137,43,1
428,137,117,1
429,137,258,1
430,137,458,1
431,138,150,1
432,138,479,1
433,138,310,1
434,138,435,1
435,138,311,1
436,139,234,1
437,140,54,1
438,141,381,1
439,142,250,3
440,142,364,3
441,142,446,3
442,142,366,3
443,142,366,3
444,142,49,3
445,142,366,3
446,142,23,3
447,142,368,3
448,143,356,4
449,144,496,1
450,144,191,1
451,144,358,1
452,144,370,1
453,144,48,1
454,144,460,1
455,144,423,1
456,144,36,1
457,145,19,1
458,146,319,1
459,146,383,1
460,146,367,1
461,146,362,1
462,146,343,1
463,147,497,1
464,147,319,1
465,147,385,1
466,147,41,1
467,148,250,1
468,148,427,1
469,148,367,1
470,148,248,1
471,148,34,1
472,148,35,1
473,149,339,1
474,150,375,1
475,151,18,1
476,152,25,1
477,153,379,6
478,153,28,6
479,153,447,6
480,153,379,6
481,153,333,6
482,153,209,6
483,153,198,6
484,153,350,6
485,153,253,6
486,153,32,6
487,153,24,6
488,154,442,7
489,155,197,1
490,155,457,1
491,155,270,1
492,155,366,1
493,156,268,1
494,156,50,1
495,157,192,2
496,157,208,2
497,158,254,2
498,158,375,2
499,158,345,2
500,158,350,2
501,159,341,1
502,159,377,1
503,159,190,1
504,160,333,1
505,160,355,1
506,160,393,1
507,160,354,1
508,160,254,1
509,161,338,3
510,161,378,3
511,162,381,1
512,163,366,1
513,163,354,1
514,163,366,1
515,163,391,1
516,163,192,1
517,164,357,1
518,164,379,1
519,164,255,1
520,164,344,1
521,164,348,1
522,164,342,1
523,164,351,1
524,165,348,3
525,165,383,3
526,165,381,3
527,165,250,3
528,165,191,3
529,165,443,3
530,166,346,1
531,166,362,1
532,166,367,1
533,166,371,1
534,166,255,1
535,166,344,1
536,167,383,8
537,168,351,3
538,168,351,3
539,168,341,3
540,168,358,3
541,168,342,3
542,168,384,3
543,169,38,1
544,170,380,1
545,170,267,1
546,170,203,1
547,170,372,1
548,171,333,1
549,172,259,3
550,172,455,3
551,173,188,2
552,174,90,1
553,175,376,1
554,175,429,1
555,176,209,1
556,177,16,1
557,177,94,1
558,177,311,1
559,178,364,1
560,178,216,1
561,178,316,1
562,178,453,1
563,178,102,1
564,178,406,1
565,178,40,1
566,178,171,1
567,179,372,3
568,180,254,1
569,180,413,1
570,180,341,1
571,180,344,1
572,180,314,1
573,181,323,2
574,182,312,1
575,182,316,1
576,182,318,1
577,182,88,1
578,182,165,1
579,182,339,1
580,183,102,1
581,183,351,1
582,183,88,1
583,183,419,1
584,183,386,1
585,183,267,1
586,183,377,1
587,184,197,1
588,184,47,1
589,184,431,1
590,184,44,1
591,184,166,1
592,184,452,1
593,184,45,1
594,184,393,1
595,185,270,1
596,186,362,6
597,186,363,6
598,187,381,1
599,187,378,1
600,187,23,1
601,187,430,1
602,187,187,1
603,187,352,1
604,187,380,1
605,187,47,1
606,187,25,1
607,188,373,1
608,188,336,1
609,188,187,1
610,188,47,1
611,188,457,1
612,189,189,4
613,190,252,1
614,191,247,1
615,192,23,3
616,192,435,3
617,193,393,2
618,193,444,2
619,193,461,2
620,193,391,2
621,193,187,2
622,193,455,2
623,193,22,2
624,194,85,3
625,194,147,3
626,194,112,3
627,194,381,3
628,194,403,3
629,194,36,3
630,194,285,3
631,194,188,3
632,195,197,2
633,195,404,2
634,195,11,2
635,195,234,2
636,196,158,4
637,197,500,1
638,197,328,1
639,197,264,1
640,197,465,1
641,197,268,1
642,198,414,2
643,199,200,2
644,200,167,1
645,200,266,1
646,200,251,1
647,200,442,1
648,200,154,1
649,200,251,1
650,201,309,1
651,201,353,1
652,201,431,1
653,202,19,1
654,202,196,1
655,202,44,1
656,202,148,1
657,203,398,4
658,203,188,4
659,203,167,4
660,203,413,4
661,203,57,4
662,203,428,4
663,203,56,4
664,204,195,1
665,204,450,1
666,204,115,1
667,205,340,3
668,205,309,3
669,206,212,2
670,207,229,4
671,208,364,1
672,209,346,1
673,210,203,4
674,211,266,4
675,212,191,2
676,213,343,1
677,214,269,1
678,214,316,1
679,215,324,1
680,216,324,2
681,217,61,1
682,218,54,6
683,219,166,1
684,219,459,1
685,219,32,1
686,219,209,1
687,219,189,1
688,219,187,1
689,220,251,1
690,221,389,3
691,221,252,3
692,221,358,3
693,222,251,1
694,223,41,4
695,223,164,4
696,223,31,4
697,223,397,4
698,223,248,4
699,223,454,4
700,223,315,4
701,223,22,4
702,224,413,1
703,224,217,1
704,224,421,1
705,225,265,1
706,226,270,1
707,227,381,4
708,228,19,1
709,228,408,1
710,228,359,1
711,228,31,1
712,228,270,1
713,228,425,1
714,228,368,1
715,228,49,1
716,229,425,1
717,229,54,1
718,229,44,1
719,229,449,1
720,229,434,1
721,230,443,2
722,230,200,2
723,230,375,2
724,230,18,2
725,230,340,2
726,230,356,2
727,231,351,3
728,231,391,3
729,231,208,3
730,232,338,1
731,233,26,1
732,233,197,1
733,233,424,1
734,233,351,1
735,234,207,1
736,235,447,2
737,235,269,2
738,236,445,1
739,237,413,4
740,237,375,4
741,237,24,4
742,237,261,4
743,238,372,7
744,238,442,7
745,238,457,7
746,238,331,7
747,239,433,2
748,240,374,1
749,240,338,1
750,240,253,1
751,240,248,1
752,240,391,1
753,240,350,1
754,240,347,1
755,240,26,1
756,240,354,1
757,240,496,1
758,240,247,1
759,240,372,1
760,241,20,4
761,241,388,4
762,241,373,4
763,241,53,4
764,242,339,1
765,242,419,1
766,242,52,1
767,242,192,1
768,242,455,1
769,243,321,2
770,244,247,1
771,244,188,1
772,244,55,1
773,244,347,1
774,244,55,1
775,244,340,1
776,245,420,3
777,245,320,3
778,245,447,3
779,246,165,1
780,247,379,2
781,247,368,2
782,247,389,2
783,247,353,2
784,247,386,2
785,248,356,1
786,249,27,2
787,249,457,2
788,249,386,2
789,249,28,2
790,249,85,2
791,249,317,2
792,249,212,2
793,249,395,2
794,249,32,2
795,250,325,1
796,251,113,1
797,252,99,1
798,252,384,1
799,252,52,1
800,252,440,1
801,252,358,1
802,252,404,1
803,252,381,1
804,253,355,1
805,253,37,1
806,253,219,1
807,254,22,2
808,255,97,1
809,255,41,1
810,255,388,1
811,255,447,1
812,255,19,1
813,255,198,1
814,255,54,1
815,256,114,1
816,256,444,1
817,256,360,1
818,256,169,1
819,256,217,1
820,256,123,1
821,256,37,1
822,257,429,2
823,257,123,2
824,257,334,2
825,258,329,5
826,259,249,1
827,259,250,1
828,259,443,1
829,259,404,1
830,259,403,1
831,259,27,1
832,259,397,1
833,260,111,4
834,261,150,1
835,262,372,3
836,262,167,3
837,262,397,3
838,262,379,3
839,262,39,3
840,263,163,3
841,263,30,3
842,264,32,1
843,265,171,3
844,266,373,1
845,267,440,4
846,268,244,3
847,269,374,1
848,270,364,1
849,270,47,1
850,270,26,1
851,271,264,2
852,271,412,2
853,271,377,2
854,271,250,2
855,271,56,2
856,272,248,1
857,273,446,1
858,274,431,1
859,274,212,1
860,275,392,1
861,276,268,2
862,276,321,2
863,276,24,2
864,276,208,2
865,276,421,2
866,276,56,2
867,277,376,2
868,277,219,2
869,277,309,2
870,277,455,2
871,278,406,1
872,278,37,1
873,278,18,1
874,278,325,1
875,278,386,1
876,278,29,1
877,278,27,1
878,278,249,1
879,278,27,1
880,278,40,1
881,278,447,1
882,278,320,1
883,279,371,1
884,280,381,1
885,280,217,1
886,280,409,1
887,280,348,1
888,281,191,1
889,281,380,1
890,281,429,1
891,281,50,1
892,282,346,1
893,283,432,2
894,284,365,1
895,284,19,1
896,284,262,1
897,284,436,1
898,284,454,1
899,284,35,1
900,284,194,1
901,285,144,8
902,285,498,8
903,285,322,8
904,285,156,8
905,285,426,8
906,285,270,8
907,286,443,1
908,287,170,1
909,288,471,4
910,288,267,4
911,288,427,4
912,288,354,4
913,288,23,4
914,288,139,4
915,288,312,4
916,288,126,4
917,289,17,5
918,290,56,1
919,290,197,1
920,290,192,1
921,291,273,1
922,291,123,1
923,291,169,1
924,291,273,1
925,291,398,1
926,291,187,1
927,291,451,1
928,291,417,1
929,291,43,1
930,292,206,1
931,292,373,1
932,292,479,1
933,292,375,1
934,292,359,1
935,293,25,1
936,294,352,2
937,295,16,1
938,295,189,1
939,295,199,1
940,295,337,1
941,296,384,4
942,296,166,4
943,296,339,4
944,296,83,4
945,296,188,4
946,297,327,2
947,297,432,2
948,297,367,2
949,297,333,2
950,297,249,2
951,297,349,2
952,298,41,1
953,299,204,1
954,299,380,1
955,299,422,1
956,299,455,1
957,299,27,1
958,300,428,2
959,300,54,2
960,301,421,1
961,301,370,1
962,301,391,1
963,301,53,1
964,301,255,1
965,301,370,1
966,302,338,3
967,303,23,1
968,304,269,1
969,305,338,1
970,305,390,1
971,305,451,1
972,305,377,1
973,305,333,1
974,306,164,1
975,306,332,1
976,306,247,1
977,306,207,1
978,307,181,1
979,307,92,1
980,307,358,1
981,307,108,1
982,308,390,3
983,309,208,1
984,309,449,1
985,309,212,1
986,309,357,1
987,309,260,1
988,309,264,1
989,310,217,1
990,310,327,1
991,310,251,1
992,310,411,1
993,310,341,1
994,310,200,1
995,310,211,1
996,311,255,6
997,311,422,6
998,311,264,6
999,311,308,6
1000,311,18,6
1001,311,247,6
1002,311,315,6
1003,312,83,1
1004,313,336,1
1005,314,346,3
1006,314,249,3
1007,314,251,3
1008,314,383,3
1009,315,253,2
1010,315,339,2
1011,315,378,2
1012,315,354,2
1013,315,192,2
1014,316,247,1
1015,317,355,1
1016,318,331,2
1017,318,338,2
1018,318,170,2
1019,318,196,2
1020,319,164,1
1021,319,352,1
1022,320,377,1
1023,321,366,2
1024,322,57,1
1025,322,51,1
1026,323,189,1
1027,324,361,1
1028,325,392,7
1029,325,41,7
1030,326,377,1
1031,326,376,1
1032,326,380,1
1033,327,169,2
1034,327,454,2
1035,328,392,1
1036,329,320,4
1037,330,453,1
1038,330,204,1
1039,331,425,1
1040,331,359,1
1041,331,389,1
1042,331,390,1
1043,332,424,1
1044,333,248,3
1045,334,164,7
1046,335,198,1
1047,335,370,1
1048,335,345,1
1049,335,342,1
1050,336,371,1
1051,336,393,1
1052,336,345,1
1053,336,335,1
1054,336,342,1
1055,336,339,1
1056,337,373,1
1057,338,352,1
1058,339,347,3
1059,339,255,3
1060,339,335,3
1061,340,353,1
1062,340,370,1
1063,340,347,1
1064,340,361,1
1065,340,165,1
1066,340,389,1
1067,341,390,6
1068,341,333,6
1069,341,170,6
1070,341,250,6
1071,342,380,1
1072,342,420,1
1073,342,334,1
1074,342,350,1
1075,343,500,1
1076,343,197,1
1077,344,184,1
1078,344,454,1
1079,344,450,1
1080,344,175,1
1081,344,18,1
1082,344,183,1
1083,344,45,1
1084,344,276,1
1085,344,333,1
1086,345,20,1
1087,346,375,3
1088,346,160,3
1089,346,340,3
1090,346,188,3
1091,346,123,3
1092,347,270,2
1093,348,53,4
1094,348,268,4
1095,349,433,1
1096,350,222,2
1097,351,383,1
1098,351,334,1
1099,352,414,3
1100,353,27,4
1101,354,258,4
1102,355,106,2
1103,355,408,2
1104,355,22,2
1105,355,29,2
1106,355,112,2
1107,355,471,2
1108,355,477,2
1109,355,205,2
1110,355,105,2
1111,355,419,2
1112,356,348,4
1113,357,353,1
1114,357,325,1
1115,357,382,1
1116,357,361,1
1117,357,206,1
1118,358,408,2
1119,359,459,2
1120,360,477,2
1121,361,450,2
1122,362,46,1
1123,362,35,1
1124,363,358,1
1125,364,192,1
1126,364,349,1
1127,364,20,1
1128,364,328,1
1129,365,378,1
1130,365,188,1
1131,365,456,1
1132,365,450,1
1133,365,497,1
1134,365,254,1
1135,365,356,1
1136,365,318,1
1137,365,368,1
1138,366,334,1
1139,367,316,1
1140,367,19,1
1141,367,19,1
1142,367,322,1
1143,368,343,1
1144,369,341,1
1145,369,353,1
1146,369,366,1
1147,369,366,1
1148,369,365,1
1149,369,169,1
1150,370,374,8
1151,371,358,3
1152,371,164,3
1153,371,365,3
1154,371,418,3
1155,371,249,3
1156,372,342,2
1157,373,393,4
1158,374,363,1
1159,375,358,7
1160,376,385,2
1161,377,355,1
1162,378,345,4
1163,379,187,4
1164,380,375,1
1165,380,336,1
1166,380,343,1
1167,381,374,4
1168,381,393,4
1169,381,364,4
1170,381,332,4
1171,381,375,4
1172,381,360,4
1173,381,384,4
1174,381,347,4
1175,382,248,2
1176,383,339,1
1177,384,346,1
1178,385,192,1
1179,386,167,1
1180,387,367,3
1181,387,187,3
1182,387,341,3
1183,387,444,3
1184,387,419,3
1185,387,384,3
1186,387,443,3
1187,388,401,3
1188,389,88,1
1189,390,144,1
1190,391,232,6
1191,391,327,6
1192,391,442,6
1193,392,419,1
1194,393,223,2
1195,394,360,3
1196,395,343,2
1197,396,195,1
1198,396,387,1
1199,397,213,3
1200,398,336,1
1201,399,54,4
1202,400,209,1
1203,400,183,1
1204,400,425,1
1205,400,501,1
1206,400,361,1
1207,401,326,4
1208,401,379,4
1209,401,143,4
1210,401,210,4
1211,402,406,1
1212,402,89,1
1213,402,152,1
1214,403,83,1
1215,404,312,5
1216,404,488,5
1217,404,307,5
1218,405,38,2
1219,406,404,2
1220,406,188,2
1221,406,352,2
1222,406,168,2
1223,406,196,2
1224,407,189,1
1225,408,161,2
1226,408,347,2
1227,408,443,2
1228,408,489,2
1229,409,383,1
1230,409,166,1
1231,410,367,2
1232,411,341,5
1233,411,345,5
1234,412,29,2
1235,412,376,2
1236,412,462,2
1237,413,444,4
1238,413,253,4
1239,413,191,4
1240,413,356,4
1241,413,387,4
1242,414,39,1
1243,414,425,1
1244,414,352,1
1245,414,428,1
1246,414,400,1
1247,414,53,1
1248,414,497,1
1249,414,386,1
1250,414,189,1
1251,415,206,1
1252,416,414,1
1253,416,427,1
1254,416,384,1
1255,416,187,1
1256,416,458,1
1257,416,39,1
1258,416,360,1
1259,416,356,1
1260,416,217,1
1261,416,357,1
1262,416,386,1
1263,416,192,1
1264,417,334,1
1265,417,212,1
1266,417,166,1
1267,417,115,1
1268,417,45,1
1269,417,437,1
1270,418,315,3
1271,418,34,3
1272,418,260,3
1273,418,351,3
1274,418,485,3
1275,418,270,3
1276,419,442,3
1277,420,455,1
1278,420,316,1
1279,420,359,1
1280,421,444,1
1281,421,164,1
1282,421,396,1
1283,421,164,1
1284,421,213,1
1285,421,322,1
1286,421,210,1
1287,421,335,1
1288,421,252,1
1289,421,196,1
1290,422,316,5
1291,422,396,5
1292,422,168,5
1293,422,449,5
1294,422,50,5
1295,423,166,1
1296,423,209,1
1297,423,390,1
1298,423,498,1
1299,423,205,1
1300,423,252,1
1301,424,338,1
1302,424,163,1
1303,425,387,1
1304,426,333,1
1305,426,252,1
1306,426,333,1
1307,427,380,1
1308,427,268,1
1309,427,415,1
1310,427,403,1
1311,427,205,1
1312,428,382,1
1313,429,36,1
1314,429,394,1
1315,430,205,1
1316,430,346,1
1317,430,362,1
1318,430,459,1
1319,430,379,1
1320,430,452,1
1321,431,448,2
1322,432,339,1
1323,432,347,1
1324,432,361,1
1325,432,189,1
1326,432,384,1
1327,432,190,1
1328,432,36,1
1329,433,384,1
1330,433,498,1
1331,433,166,1
1332,433,366,1
1333,433,334,1
1334,434,432,2
1335,435,206,1
1336,436,371,6
1337,436,196,6
1338,436,196,6
1339,437,388,3
1340,437,386,3
1341,437,269,3
1342,438,447,3
1343,438,317,3
1344,438,200,3
1345,438,209,3
1346,438,268,3
1347,438,20,3
1348,438,17,3
1349,438,37,3
1350,438,331,3
1351,438,189,3
1352,438,201,3
1353,438,209,3
1354,439,344,1
1355,440,387,4
1356,441,367,1
1357,442,335,5
1358,443,371,1
1359,444,388,5
1360,444,382,5
1361,445,190,1
1362,446,210,5
1363,446,426,5
1364,446,380,5
1365,447,21,3
1366,448,372,1
1367,449,168,1
1368,449,26,1
1369,449,27,1
1370,449,254,1
1371,449,23,1
1372,449,425,1
1373,449,56,1
1374,449,443,1
1375,450,171,1
1376,451,385,1
1377,451,345,1
1378,451,363,1
1379,451,387,1
1380,451,373,1
1381,452,165,4
1382,453,343,1
1383,453,336,1
1384,453,419,1
1385,453,163,1
1386,453,170,1
1387,454,166,3
1388,454,442,3
1389,455,335,2
1390,456,331,1
1391,456,187,1
1392,456,378,1
1393,457,345,1
1394,458,374,2
1395,459,340,7
1396,459,335,7
1397,459,349,7
1398,459,341,7
1399,459,191,7
1400,459,376,7
1401,459,249,7
1402,460,375,4
1403,460,359,4
1404,461,189,4
1405,462,336,4
1406,463,349,5
1407,464,373,1
1408,465,337,6
1409,466,255,3
1410,466,350,3
1411,466,348,3
1412,466,331,3
1413,466,349,3
1414,467,343,1
1415,467,362,1
1416,467,354,1
1417,467,391,1
1418,467,442,1
1419,467,335,1
1420,467,187,1
1421,468,378,3
1422,469,362,1
1423,469,353,1
1424,469,255,1
1425,469,378,1
1426,469,336,1
1427,470,332,1
1428,470,354,1
1429,470,249,1
1430,470,192,1
1431,471,340,6
1432,471,347,6
1433,471,369,6
1434,471,163,6
1435,472,252,1
1436,472,50,1
1437,472,420,1
1438,472,45,1
1439,472,270,1
1440,472,333,1
1441,472,362,1
1442,473,455,2
1443,474,43,3
1444,474,452,3
1445,474,251,3
1446,474,198,3
1447,475,160,3
1448,475,347,3
1449,475,470,3
1450,475,159,3
1451,475,500,3
1452,475,389,3
1453,475,206,3
1454,475,358,3
1455,475,337,3
1456,475,392,3
1457,475,203,3
1458,476,245,1
1459,477,107,5
1460,477,336,5
1461,477,17,5
1462,477,433,5
1463,478,159,1
1464,479,200,1
1465,479,340,1
1466,479,50,1
1467,479,339,1
1468,479,103,1
1469,480,191,4
1470,480,397,4
1471,480,376,4
1472,481,434,4
1473,481,386,4
1474,481,248,4
1475,482,461,2
1476,483,354,1
1477,483,420,1
1478,483,41,1
1479,483,169,1
1480,483,342,1
1481,483,423,1
1482,483,36,1
1483,483,168,1
1484,484,458,1
1485,484,381,1
1486,484,187,1
1487,484,341,1
1488,484,43,1
1489,484,19,1
1490,484,423,1
1491,484,268,1
1492,485,435,1
1493,485,340,1
1494,485,462,1
1495,485,354,1
1496,485,16,1
1497,485,252,1
1498,485,336,1
1499,485,445,1
1500,485,21,1
1501,485,426,1
1502,485,418,1
1503,485,196,1
1504,486,385,1
1505,487,497,1
1506,488,447,1
1507,489,333,1
1508,490,166,1
1509,491,456,1
1510,491,197,1
1511,491,355,1
1512,491,356,1
1513,491,171,1
1514,491,375,1
1515,492,377,1
1516,492,56,1
1517,492,32,1
1518,492,416,1
1519,492,349,1
1520,493,56,1
1521,493,54,1
1522,494,447,1
1523,494,418,1
1524,494,332,1
1525,494,382,1
1526,494,166,1
1527,494,165,1
1528,494,16,1
1529,494,363,1
1530,494,34,1
1531,494,331,1
1532,494,255,1
1533,495,340,2
1534,495,312,2
1535,496,322,1
1536,496,23,1
1537,496,195,1
1538,496,419,1
1539,496,216,1
1540,496,415,1
1541,497,219,2
1542,497,217,2
1543,497,412,2
1544,497,410,2
1545,497,188,2
1546,498,166,1
1547,499,239,2
1548,500,225,1
1549,500,332,1
1550,500,378,1
1551,500,243,1
1552,500,143,1
1553,500,41,1
1554,500,423,1
1555,500,258,1
1556,500,447,1
1557,501,307,4
1558,501,331,4
1559,501,461,4
1560,501,266,4
1561,501,398,4
1562,501,210,4
1563,501,51,4
1564,501,118,4
1565,502,164,1
1566,502,420,1
1567,502,341,1
1568,503,189,3
1569,503,338,3
1570,503,368,3
1571,503,358,3
1572,504,388,1
1573,505,253,3
1574,506,331,4
1575,506,249,4
1576,506,357,4
1577,506,198,4
1578,506,339,4
1579,507,356,3
1580,508,450,4
1581,508,357,4
1582,509,87,1
1583,510,339,1
1584,511,352,1
1585,512,380,1
1586,513,344,1
1587,514,350,2
1588,515,251,1
1589,516,384,1
1590,516,248,1
1591,516,349,1
1592,516,363,1
1593,516,371,1
1594,516,380,1
1595,516,346,1
1596,517,384,2
1597,518,341,1
1598,519,353,1
1599,520,45,1
1600,521,52,1
1601,522,342,2
1602,523,368,1
1603,523,44,1
1604,524,37,1
1605,525,169,1
1606,526,188,1
1607,527,57,4
1608,528,340,3
1609,528,382,3
1610,528,36,3
1611,528,164,3
1612,529,384,4
1613,529,347,4
1614,530,32,1
1615,530,354,1
1616,530,337,1
1617,531,34,6
1618,531,498,6
1619,531,340,6
1620,531,23,6
1621,531,43,6
1622,531,20,6
1623,531,445,6
1624,532,247,2
1625,532,346,2
1626,532,372,2
1627,532,353,2
1628,533,419,5
1629,533,449,5
1630,534,20,5
1631,534,35,5
1632,534,166,5
1633,535,363,3
1634,536,270,1
1635,536,373,1
1636,536,351,1
1637,536,159,1
1638,536,114,1
1639,536,339,1
1640,536,326,1
1641,537,266,3
1642,538,149,3
1643,539,383,3
1644,539,250,3
1645,539,87,3
1646,539,452,3
1647,540,451,3
1648,541,312,1
1649,541,410,1
1650,541,331,1
1651,541,171,1
1652,542,258,1
1653,542,446,1
1654,542,93,1
1655,542,421,1
1656,542,443,1
1657,542,183,1
1658,542,400,1
1659,542,327,1
1660,542,317,1
1661,542,256,1
